Common,Royal,Monk
គាត់បានផ្ញើសារមកប្រាប់ខ្ញុំថាគាត់នឹងមកដល់ផ្ទះយឺតបន្តិចនៅយប់នេះ។,ព្រះអង្គម្ចាស់ទ្រង់បានផ្ញើព្រះរាជសារមកប្រាប់ខ្ញុំព្រះករុណាថាទ្រង់នឹងយាងមកដល់ព្រះរាជដំណាក់យឺតបន្តិចនៅយប់នេះ។,ព្រះតេជព្រះគុណទ្រង់បានផ្ញើសារមកប្រាប់ខ្ញុំព្រះតេជព្រះគុណថាទ្រង់នឹងយាងមកដល់កុដិយឺតបន្តិចនៅយប់នេះ។
ការប្រើប្រាស់អ៊ីនធឺណិតក្នុងគោលបំណងល្អជួយឱ្យយើងទទួលបានចំណេះដឹងថ្មីៗជាច្រើន។,ការប្រើប្រាស់ព្រះរាជអ៊ីនធឺណិតក្នុងព្រះរាជគោលបំណងល្អជួយឱ្យព្រះអង្គទ្រង់ទទួលបានព្រះរាជចំណេះដឹងថ្មីៗជាច្រើន។,ការប្រើប្រាស់អ៊ីនធឺណិតក្នុងគោលបំណងល្អជួយឱ្យពួកយើងទទួលបានចំណេះដឹងថ្មីៗជាច្រើន។
សណ្ឋាគារដែលយើងស្នាក់នៅមានសេវាកម្មល្អនិងមានអាងហែលទឹកយ៉ាងស្អាតទៀតផង។,ព្រះរាជសណ្ឋាគារដែលព្រះអង្គទ្រង់ស្នាក់នៅមានព្រះរាជសេវាកម្មល្អនិងមានព្រះរាជអាងហែលទឹកយ៉ាងស្អាតទៀតផង។,អាស្រមឬស្ថានដែលពួកយើងស្នាក់នៅមានសេវាកម្មល្អនិងមានអាងហែលទឹកយ៉ាងស្អាតទៀតផង។
នាងកំពុងរៀបចំឯកសារដើម្បីដាក់ពាក្យសុំទិដ្ឋាការទៅដើរលេងនៅប្រទេសបារាំង។,ព្រះនាងទ្រង់កំពុងរៀបចំព្រះរាជឯកសារដើម្បីដាក់ពាក្យសុំព្រះរាជទិដ្ឋាការទៅយាងដើរលេងនៅព្រះនគរបារាំង។,ព្រះតេជព្រះគុណទ្រង់កំពុងរៀបចំឯកសារដើម្បីដាក់ពាក្យសុំទិដ្ឋាការទៅដើរលេងនៅប្រទេសបារាំង។
ការដាំបន្លែញ៉ាំខ្លួនឯងនៅក្រោយផ្ទះជួយឱ្យយើងចំណេញលុយនិងមានសុវត្ថិភាព។,ព្រះរាជកិច្ចដាំបន្លែសម្រាប់ព្រះសន្ធិការខ្លួនឯងនៅក្រោយព្រះរាជដំណាក់ជួយឱ្យព្រះអង្គទ្រង់ចំណេញព្រះរាជប្រាក់និងមានព្រះរាជសុវត្ថិភាព។,ការដាំបន្លែសម្រាប់ភោជនាហារខ្លួនឯងនៅក្រោយកុដិជួយឱ្យពួកយើងចំណេញទារហាត់និងមានសុវត្ថិភាព។
យុវជនសម័យថ្មីត្រូវចេះប្រើប្រាស់បច្ចេកវិទ្យាឱ្យមានប្រយោជន៍ដល់ការសិក្សាស្រាវជ្រាវ។,ព្រះរាជយុវជនសម័យថ្មីត្រូវចេះប្រើប្រាស់ព្រះរាជបច្ចេកវិទ្យាឱ្យមានព្រះរាជប្រយោជន៍ដល់ព្រះរាជការសិក្សាស្រាវជ្រាវ។,យុវជនសម័យថ្មីត្រូវចេះប្រើប្រាស់បច្ចេកវិទ្យាឱ្យមានប្រយោជន៍ដល់ការសិក្សាធម៌និងស្រាវជ្រាវ។
ខ្ញុំចូលចិត្តស្ដាប់តន្ត្រីបែបសម្រាកអារម្មណ៍នៅពេលដែលខ្ញុំកំពុងធ្វើការងារផ្ទះ។,ខ្ញុំព្រះករុណាទ្រង់ព្រះករុណាប្រោសនិយាយថាទ្រង់ត្រេកអរនឹងការស្ដាប់ព្រះរាជតន្ត្រីបែបសម្រាកព្រះរាជអារម្មណ៍នៅពេលដែលទ្រង់កំពុងធ្វើព្រះរាជការងារផ្ទះ។,ខ្ញុំព្រះតេជព្រះគុណទ្រង់ត្រេកអរនឹងការស្ដាប់គតិធម៌ឬតន្ត្រីស្ងប់នៅពេលដែលទ្រង់កំពុងធ្វើកិច្ចការកុដិ។
ការជួយសង្គ្រោះសត្វព្រៃគឺជាកាតព្វកិច្ចរបស់មនុស្សគ្រប់រូបដើម្បីតុល្យភាពធម្មជាតិ។,ព្រះរាជកិច្ចជួយសង្គ្រោះព្រះសត្វព្រៃគឺជាព្រះរាជកាតព្វកិច្ចរបស់ព្រះរាជសាធារណៈជនគ្រប់ព្រះអង្គដើម្បីព្រះរាជតុល្យភាពធម្មជាតិ។,ការជួយសង្គ្រោះសត្វព្រៃគឺជាកាតព្វកិច្ចរបស់ពុទ្ធបរិស័ទគ្រប់រូបដើម្បីតុល្យភាពធម្មជាតិ។
គាត់បានទទួលជោគជ័យយ៉ាងខ្លាំងក្នុងការបើកអាជីវកម្មលក់គ្រឿងសង្ហារឹមទំនើបៗ។,ព្រះអង្គម្ចាស់ទ្រង់បានទទួលព្រះរាជជោគជ័យយ៉ាងខ្លាំងក្នុងការបើកព្រះរាជអាជីវកម្មលក់ព្រះរាជគ្រឿងសង្ហារឹមទំនើបៗ។,ព្រះតេជព្រះគុណទ្រង់បានទទួលសម្រេចផលយ៉ាងខ្លាំងក្នុងការបើកទីលក់គ្រឿងសំភារៈទំនើបៗ។
យើងគួរតែជិះកង់ទៅផ្សារបើកន្លែងនោះនៅជិតផ្ទះដើម្បីហាត់ប្រាណផងដែរ។,ព្រះអង្គគួរតែធ្វើព្រះរាជដំណើរដោយព្រះរាជយានទៅព្រះរាជផ្សារនោះដែលនៅជិតព្រះរាជដំណាក់ដើម្បីហាត់ប្រាណផងដែរ។,ពួកយើងគួរតែជិះយាន្តទៅទីផ្សារនោះដែលនៅជិតកុដិដើម្បីហាត់ប្រាណផងដែរ។
កូនឆ្កែតូចមួយនេះពិតជាគួរឱ្យស្រឡាញ់ណាស់ព្រោះវាចូលចិត្តលេងជាមួយក្មេងៗ។,ព្រះសត្វឆ្កែតូចមួយនេះពិតជាគួរឱ្យទ្រង់ព្រះស្រឡាញ់ណាស់ព្រោះវាចូលចិត្តលេងជាមួយព្រះរាជកុមារៗ។,សត្វឆ្កែតូចមួយនេះពិតជាគួរឱ្យស្រឡាញ់ណាស់ព្រោះវាចូលចិត្តលេងជាមួយកុមារៗ។
ការរក្សាអនាម័យខ្លួនប្រាណជួយការពារយើងពីជំងឺឆ្លងផ្សេងៗដែលកើតមានក្នុងសង្គម។,ការរក្សាព្រះរាជអនាម័យព្រះកាយជួយការពារព្រះអង្គពីព្រះរាជជំងឺឆ្លងផ្សេងៗដែលកើតមានក្នុងព្រះរាជសង្គម។,ការរក្សាអនាម័យកាយជួយការពារពួកយើងពីជំងឺឆ្លងផ្សេងៗដែលកើតមានក្នុងសង្ឃគមន៍។
ខ្ញុំចង់រៀនជំនាញថតរូបដើម្បីផ្ដិតយកសម្រស់ធម្មជាតិនៃប្រទេសកម្ពុជាយើង។,ខ្ញុំព្រះករុណាមានព្រះរាជបំណងរៀនព្រះរាជជំនាញថតរូបដើម្បីផ្ដិតយកព្រះរាជសម្រស់ធម្មជាតិនៃព្រះរាជាណាចក្រកម្ពុជា។,ខ្ញុំព្រះតេជព្រះគុណមានសេចក្ដីប្រាថ្នារៀនជំនាញថតរូបដើម្បីផ្ដិតយកសម្រស់ធម្មជាតិនៃប្រទេសកម្ពុជា។
ម្ដាយរបស់ខ្ញុំតែងតែស្លម្ជូរគ្រឿងយ៉ាងឆ្ងាញ់ឱ្យកូនៗញ៉ាំជុំគ្នានៅចុងសប្ដាហ៍។,ព្រះមាតារបស់ខ្ញុំព្រះករុណាទ្រង់តែងតែស្លម្ជូរព្រះរាជគ្រឿងយ៉ាងឆ្ងាញ់ឱ្យព្រះរាជកូនប្រសើរញ៉ាំជុំគ្នានៅចុងសប្ដាហ៍។,ព្រះអង្គ(ម្ដាយ)របស់ខ្ញុំព្រះតេជព្រះគុណទ្រង់តែងតែស្លម្ជូរគ្រឿងយ៉ាងឆ្ងាញ់ឱ្យកូនៗទទួលភោជនាហារជុំគ្នានៅចុងសប្ដាហ៍។
ការធ្វើការងារជាក្រុមទាមទារឱ្យសមាជិកទាំងអស់មានការយោគយល់និងជួយគ្នា។,ព្រះរាជកិច្ចធ្វើការងារជាក្រុមទាមទារឱ្យព្រះរាជសមាជិកទាំងអស់មានព្រះរាជការយោគយល់និងជួយគ្នា។,កិច្ចការធ្វើជាសង្ឃគមន៍តម្រូវឱ្យសមាជិកទាំងអស់មានការយោគយល់និងជួយគ្នា។
គាត់បានសម្រេចចិត្តលក់ម៉ូតូចាស់ដើម្បីថែមលុយទិញឡានថ្មីសម្រាប់ប្រើប្រាស់។,ព្រះអង្គម្ចាស់ទ្រង់បានសម្រេចព្រះរាជហឫទ័យលក់ព្រះរាជម៉ូតូចាស់ដើម្បីថែមព្រះរាជប្រាក់ទិញព្រះរាជឡានថ្មីសម្រាប់ប្រើប្រាស់។,ព្រះតេជព្រះគុណទ្រង់បានសម្រេចព្រះទ័យលក់យាន្តចាស់ដើម្បីថែមទារហាត់ទិញយានថ្មីសម្រាប់ប្រើប្រាស់។
សាលារៀនគឺជាកន្លែងបណ្ដុះចំណេះដឹងនិងសីលធម៌ដល់កុមារគ្រប់រូបក្នុងលោក។,ព្រះរាជសាលារៀនគឺជាព្រះរាជទីបណ្ដុះព្រះរាជចំណេះដឹងនិងព្រះរាជសីលធម៌ដល់ព្រះរាជកុមារគ្រប់ព្រះអង្គក្នុងលោក។,សាលារៀនធម៌គឺជាកន្លែងបណ្ដុះចំណេះដឹងនិងសីលធម៌ដល់កុមារគ្រប់រូបក្នុងលោក។
ខ្ញុំត្រូវការកក់សំបុត្រយន្តហោះទុកមុនមួយខែដើម្បីទទួលបានតម្លៃសមរម្យ។,ខ្ញុំព្រះករុណាត្រូវការកក់ព្រះរាជសំបុត្រយន្តហោះទុកមុនមួយខែដើម្បីទទួលបានព្រះរាជតម្លៃសមរម្យ។,ខ្ញុំព្រះតេជព្រះគុណត្រូវការកក់សំបុត្រយន្តហោះទុកមុនមួយខែដើម្បីទទួលបានតម្លៃសមរម្យ។
ការរៀបចំពេលវេលាឱ្យបានល្អជួយឱ្យយើងអាចសម្រេចការងារបានយ៉ាងជោគជ័យ។,ការរៀបចំព្រះរាជពេលវេលាឱ្យបានល្អជួយឱ្យព្រះអង្គទ្រង់អាចសម្រេចព្រះរាជការងារបានយ៉ាងព្រះរាជជោគជ័យ។,ការរៀបចំពេលវេលាឱ្យបានល្អជួយឱ្យពួកយើងអាចសម្រេចកិច្ចការបានយ៉ាងជោគជ័យ។
នាងកំពុងរៀនតុបតែងមុខតាមរយៈការមើលវីដេអូបង្រៀននៅលើគេហទំព័រយូធូប។,ព្រះនាងទ្រង់កំពុងរៀនព្រះរាជការតុបតែងព្រះភក្ត្រតាមរយៈការមើលព្រះរាជវីដេអូបង្រៀននៅលើព្រះរាជគេហទំព័រយូធូប។,ព្រះតេជព្រះគុណទ្រង់កំពុងរៀនការតុបតែងកាយតាមរយៈការមើលវីដេអូបង្រៀននៅលើគេហទំព័រយូធូប។
យើងគួរតែចូលរួមបរិច្ចាគឈាមដើម្បីជួយសង្គ្រោះជីវិតអ្នកជំងឺដែលត្រូវការឈាម។,ព្រះអង្គគួរតែចូលរួមព្រះរាជបរិច្ចាគព្រះរាជឈាមដើម្បីជួយសង្គ្រោះព្រះរាជជីវិតអ្នកជំងឺដែលត្រូវការឈាម។,ពួកយើងគួរតែចូលរួមបរិច្ចាគឈាមដើម្បីជួយសង្គ្រោះជីវិតអ្នកជំងឺដែលត្រូវការឈាម។
ឪពុករបស់ខ្ញុំគឺជាមនុស្សម្នាក់ដែលចូលចិត្តអានកាសែតរៀងរាល់ព្រឹកជានិច្ច។,ព្រះបិតារបស់ខ្ញុំព្រះករុណាទ្រង់គឺជាព្រះអង្គម្នាក់ដែលទ្រង់ព្រះករុណាប្រោសនិយាយថាទ្រង់ត្រេកអរនឹងការអានព្រះរាជកាសែតរៀងរាល់ព្រឹកជានិច្ច។,ព្រះអង្គ(ឪពុក)របស់ខ្ញុំព្រះតេជព្រះគុណទ្រង់គឺជាអ្នកម្នាក់ដែលទ្រង់ត្រេកអរនឹងការអានកាសែតរៀងរាល់ព្រឹកជានិច្ច។
ផ្ការំដួលមានក្លិនក្រអូបឈ្ងុយឈ្ងប់នៅពេលល្ងាចដែលធ្វើឱ្យយើងមានអារម្មណ៍ល្អ។,ព្រះផ្ការំដួលមានព្រះក្លិនក្រអូបឈ្ងុយឈ្ងប់នៅពេលល្ងាចដែលធ្វើឱ្យព្រះអង្គទ្រង់មានព្រះរាជអារម្មណ៍ល្អ។,ផ្ការំដួលមានក្លិនក្រអូបឈ្ងុយឈ្ងប់នៅពេលល្ងាចដែលធ្វើឱ្យពួកយើងមានអារម្មណ៍ល្អ។
ខ្ញុំចង់ទៅលេងទឹកធ្លាក់នៅខេត្តមណ្ឌលគិរីជាមួយមិត្តភក្តិរួមការងារទាំងអស់។,ខ្ញុំព្រះករុណាមានព្រះរាជបំណងយាងទៅលេងព្រះរាជទឹកធ្លាក់នៅខេត្តមណ្ឌលគិរីជាមួយព្រះរាជមិត្តភក្តិរួមព្រះរាជការងារទាំងអស់។,ខ្ញុំព្រះតេជព្រះគុណមានសេចក្ដីប្រាថ្នាយាងទៅលេងទឹកធ្លាក់នៅខេត្តមណ្ឌលគិរីជាមួយអនុសិស្សឬមិត្តធម៌រួមកិច្ចការទាំងអស់។
ការប្រើប្រាស់ពាក្យសម្ដីទន់ភ្លន់ជាមួយអ្នកដទៃជួយឱ្យយើងមានទំនាក់ទំនងល្អ។,ការប្រើប្រាស់ព្រះរាជពាក្យសម្ដីទន់ភ្លន់ជាមួយអ្នកដទៃជួយឱ្យព្រះអង្គទ្រង់មានព្រះរាជទំនាក់ទំនងល្អ។,ការប្រើប្រាស់ពាក្យសម្ដីទន់ភ្លន់ជាមួយអ្នកដទៃជួយឱ្យពួកយើងមានទំនាក់ទំនងល្អ។
គាត់កំពុងរង់ចាំឡានក្រុងនៅចំណតដើម្បីធ្វើដំណើរទៅធ្វើការនៅឯទីក្រុង។,ព្រះអង្គម្ចាស់ទ្រង់កំពុងរង់ចាំព្រះរាជឡានក្រុងនៅព្រះរាជចំណតដើម្បីធ្វើព្រះរាជដំណើរទៅធ្វើព្រះរាជការនៅឯព្រះរាជធានី។,ព្រះតេជព្រះគុណទ្រង់កំពុងរង់ចាំយានក្រុងនៅចំណតដើម្បីធ្វើដំណើរទៅធ្វើកិច្ចការនៅឯទីក្រុង។
សព្វថ្ងៃនេះមានកម្មវិធីទូរស័ព្ទជាច្រើនដែលជួយសម្រួលដល់ការរៀនភាសាខ្មែរ។,សព្វថ្ងៃនេះមានព្រះរាជកម្មវិធីទូរស័ព្ទជាច្រើនដែលជួយសម្រួលដល់ព្រះរាជការរៀនព្រះរាជភាសាខ្មែរ។,សព្វថ្ងៃនេះមានកម្មវិធីទូរស័ព្ទជាច្រើនដែលជួយសម្រួលដល់ការរៀនភាសាខ្មែរ។
ពួកយើងគួរតែជួយគ្នាថែរក្សាសម្បត្តិបេតិកភណ្ឌជាតិឱ្យបានល្អសម្រាប់កូនចៅជំនាន់ក្រោយ។,ព្រះអង្គគួរតែជួយគ្នាថែរក្សាព្រះរាជសម្បត្តិបេតិកភណ្ឌជាតិឱ្យបានល្អសម្រាប់ព្រះរាជកូនចៅជំនាន់ក្រោយ។,ពួកយើងគួរតែជួយគ្នាថែរក្សាសម្បត្តិបេតិកភណ្ឌសាសនាឱ្យបានល្អសម្រាប់កូនចៅជំនាន់ក្រោយ។
ខ្ញុំត្រូវការទិញសម្ភារៈសិក្សាមួយចំនួនដូចជាប៊ិចនិងសៀវភៅសម្រាប់ប្អូនប្រុស។,ខ្ញុំព្រះករុណាត្រូវការទិញព្រះរាជសម្ភារៈសិក្សាមួយចំនួនដូចជាព្រះរាជប៊ិចនិងព្រះរាជសៀវភៅសម្រាប់ព្រះអនុជព្រះអង្គម្ចាស់។,ខ្ញុំព្រះតេជព្រះគុណត្រូវការទទួលសម្ភារៈសិក្សាមួយចំនួនដូចជាប៊ិចនិងសៀវភៅសម្រាប់អនុសិស្សប្រុស។
ការដើរលឿនៗជារៀងរាល់ថ្ងៃជួយឱ្យបេះដូងមានសុខភាពល្អនិងរាងកាយមាំមួន។,ព្រះរាជកិច្ចដើរលឿនៗជារៀងរាល់ថ្ងៃជួយឱ្យព្រះរាជបេះដូងមានព្រះរាជសុខភាពល្អនិងព្រះរាជរាងកាយមាំមួន។,ការដើរលឿនៗជារៀងរាល់ថ្ងៃជួយឱ្យបេះដូងមានសុខភាពល្អនិងរាងកាយមាំមួន។
នាងបានឈ្នះពានរង្វាន់លេខមួយក្នុងការប្រកួតនិយាយជាសាធារណៈនៅសាលារៀន។,ព្រះនាងទ្រង់បានឈ្នះព្រះរាជពានរង្វាន់លេខមួយក្នុងការប្រកួតនិយាយជាសាធារណៈនៅព្រះរាជសាលារៀន។,ព្រះតេជព្រះគុណទ្រង់បានឈ្នះពានរង្វាន់លេខមួយក្នុងការប្រកួតនិទានធម៌ជាសាធារណៈនៅសាលារៀន។
ម្ចាស់ហាងកំពុងរៀបចំបញ្ចុះតម្លៃទំនិញជាច្រើនមុខដើម្បីអបអរសាទរថ្ងៃបុណ្យ។,ព្រះរាជម្ចាស់ហាងកំពុងរៀបចំបញ្ចុះព្រះរាជតម្លៃទំនិញជាច្រើនមុខដើម្បីអបអរសាទរព្រះរាជបុណ្យ។,អ្នកថែរក្សាទីលក់កំពុងរៀបចំបញ្ចុះតម្លៃទំនិញជាច្រើនមុខដើម្បីអបអរសាទរបុណ្យព្រះពុទ្ធសាសនា។
ការដុសធ្មេញឱ្យបានត្រឹមត្រូវពីរដងក្នុងមួយថ្ងៃជួយការពារធ្មេញកុំឱ្យពុក។,ការដុសព្រះរាជធ្មេញឱ្យបានត្រឹមត្រូវពីរដងក្នុងមួយថ្ងៃជួយការពារព្រះរាជធ្មេញកុំឱ្យពុក។,ការដុសធ្មេញឱ្យបានត្រឹមត្រូវពីរដងក្នុងមួយថ្ងៃជួយការពារធ្មេញកុំឱ្យពុក។
គាត់បានសរសេរសំបុត្រទៅសួរសុខទុក្ខឪពុកម្ដាយដែលរស់នៅឯស្រុកកំណើត។,ព្រះអង្គម្ចាស់ទ្រង់បានសរសេរព្រះរាជសំបុត្រទៅសួរព្រះរាជសុខទុក្ខព្រះបិតាមាតាដែលទ្រង់ព្រះគង់នៅឯព្រះរាជស្រុកកំណើត។,ព្រះតេជព្រះគុណទ្រង់បានសរសេរសំបុត្រទៅសួរសុខទុក្ខមាតាបិតាដែលរស់នៅឯស្រុកកំណើត។
ការរៀនតាមប្រព័ន្ធអ៊ីនធឺណិតផ្ដល់ភាពងាយស្រួលដល់អ្នកដែលមិនមានពេលវេលាគ្រប់គ្រាន់។,ព្រះរាជការរៀនតាមព្រះរាជប្រព័ន្ធអ៊ីនធឺណិតផ្ដល់ព្រះរាជភាពងាយស្រួលដល់ព្រះអង្គដែលមិនមានព្រះរាជពេលវេលាគ្រប់គ្រាន់។,ការរៀនធម៌តាមប្រព័ន្ធអ៊ីនធឺណិតផ្ដល់ភាពងាយស្រួលដល់អ្នកដែលមិនមានពេលវេលាគ្រប់គ្រាន់។
ខ្ញុំចូលចិត្តញ៉ាំបង្អែមខ្មែរដែលមានជាតិខ្ទិះដូងព្រោះវាមានរសជាតិឈ្ងុយឆ្ងាញ់។,ខ្ញុំព្រះករុណាទ្រង់ព្រះករុណាប្រោសនិយាយថាទ្រង់ត្រេកអរនឹងព្រះសន្ធិការព្រះរាជបង្អែមខ្មែរដែលមានជាតិខ្ទិះដូងព្រោះវាមានព្រះរាជរសជាតិឈ្ងុយឆ្ងាញ់។,ខ្ញុំព្រះតេជព្រះគុណទ្រង់ត្រេកអរនឹងការទទួលបង្អែមខ្មែរដែលមានជាតិខ្ទិះដូងព្រោះវាមានរសជាតិឈ្ងុយឆ្ងាញ់។
យើងមិនត្រូវបើកបរលើសល្បឿនកំណត់ដែលច្បាប់បានចែងទុកនោះឡើយបាទ។,ព្រះអង្គមិនត្រូវបើកបរលើសព្រះរាជល្បឿនកំណត់ដែលព្រះរាជច្បាប់បានចែងទុកនោះឡើយ។,ពួកយើងមិនត្រូវបើកបរលើសល្បឿនកំណត់ដែលច្បាប់បានចែងទុកនោះឡើយ។
នាងកំពុងរៀនចាក់មួកពីអំបោះរោមចៀមដើម្បីយកមកពាក់នៅរដូវរងាខាងមុខ។,ព្រះនាងទ្រង់កំពុងរៀនព្រះរាជការចាក់ព្រះមក្សពីអំបោះរោមចៀមដើម្បីយកមកស្លៀកពាក់នៅរដូវរងាខាងមុខ។,ព្រះតេជព្រះគុណទ្រង់កំពុងរៀនការចាក់មួកពីអំបោះរោមចៀមដើម្បីយកមកប្រើប្រាស់នៅរដូវរងាខាងមុខ។
ការយល់ដឹងអំពីច្បាប់ចរាចរណ៍ជួយកាត់បន្ថយគ្រោះថ្នាក់ដែលកើតមានលើដងផ្លូវ។,ការយល់ដឹងអំពីព្រះរាជច្បាប់ចរាចរណ៍ជួយកាត់បន្ថយព្រះរាជគ្រោះថ្នាក់ដែលកើតមានលើព្រះរាជដងផ្លូវ។,ការយល់ដឹងអំពីច្បាប់ចរាចរណ៍ជួយកាត់បន្ថយគ្រោះថ្នាក់ដែលកើតមានលើដងផ្លូវ។
ខ្ញុំចង់ជួលផ្ទះមួយកន្លែងដែលមានសន្តិសុខល្អនិងនៅជិតកន្លែងធ្វើការងារ។,ខ្ញុំព្រះករុណាមានព្រះរាជបំណងជួលព្រះរាជដំណាក់មួយកន្លែងដែលមានព្រះរាជសន្តិសុខល្អនិងនៅជិតព្រះរាជទីធ្វើការងារ។,ខ្ញុំព្រះតេជព្រះគុណមានសេចក្ដីប្រាថ្នាជួលកុដិមួយកន្លែងដែលមានសន្តិសុខល្អនិងនៅជិតទីធ្វើកិច្ចការ។
គាត់គឺជាជាងជួសជុលនាឡិកាដែលមានបទពិសោធន៍យូរឆ្នាំនិងមានភាពល្បីល្បាញ។,ព្រះអង្គម្ចាស់ទ្រង់គឺជាព្រះរាជជាងជួសជុលព្រះរាជនាឡិកាដែលមានព្រះរាជបទពិសោធន៍យូរឆ្នាំនិងមានព្រះរាជភាពល្បីល្បាញ។,ព្រះតេជព្រះគុណទ្រង់គឺជាជាងជួសជុលនាឡិកាដែលមានបទពិសោធន៍យូរឆ្នាំនិងមានភាពល្បីល្បាញ។
ការញ៉ាំទឹកឱ្យបានច្រើនក្នុងមួយថ្ងៃជួយឱ្យស្បែកយើងមានសំណើមនិងស្រស់ថ្លា។,ការទទួលព្រះទឹកឱ្យបានច្រើនក្នុងមួយថ្ងៃជួយឱ្យព្រះរាជស្បែកមានសំណើមនិងស្រស់ថ្លា។,ការទទួលទឹកឱ្យបានច្រើនក្នុងមួយថ្ងៃជួយឱ្យស្បែកមានសំណើមនិងស្រស់ថ្លា។
ពួកយើងគួរតែចូលរួមដាំដើមឈើឱ្យបានច្រើនដើម្បីជួយការពារកម្ដៅផែនដី។,ព្រះអង្គគួរតែចូលរួមព្រះរាជកិច្ចដាំដើមឈើឱ្យបានច្រើនដើម្បីជួយការពារព្រះរាជកម្ដៅផែនដី។,ពួកយើងគួរតែចូលរួមការដាំដើមឈើឱ្យបានច្រើនដើម្បីជួយការពារកម្ដៅផែនដី។
ខ្ញុំត្រូវការទិញម៉ាស៊ីនបោកខោអាវថ្មីមួយសម្រាប់ប្រើប្រាស់ក្នុងគ្រួសារខ្ញុំ។,ខ្ញុំព្រះករុណាត្រូវការទិញព្រះរាជម៉ាស៊ីនបោកព្រះសារពើថ្មីមួយសម្រាប់ប្រើប្រាស់ក្នុងព្រះរាជគ្រួសារ។,ខ្ញុំព្រះតេជព្រះគុណត្រូវការទទួលម៉ាស៊ីនបោកចីវរថ្មីមួយសម្រាប់ប្រើប្រាស់ក្នុងសង្ឃគមន៍។
នាងតែងតែជួយការងារផ្ទះម្ដាយបន្ទាប់ពីនាងត្រឡប់មកពីសាលារៀនវិញជានិច្ច។,ព្រះនាងទ្រង់តែងតែជួយព្រះរាជការងារផ្ទះព្រះមាតាបន្ទាប់ពីទ្រង់ត្រឡប់មកពីព្រះរាជសាលារៀនវិញជានិច្ច។,ព្រះតេជព្រះគុណទ្រង់តែងតែជួយកិច្ចការកុដិបន្ទាប់ពីទ្រង់ត្រឡប់មកពីសាលារៀនវិញជានិច្ច។
ការស្ដាប់ព័ត៌មានជារៀងរាល់ព្រឹកជួយឱ្យយើងដឹងពីព្រឹត្តិការណ៍ជុំវិញពិភពលោក។,ការស្ដាប់ព្រះរាជព័ត៌មានជារៀងរាល់ព្រឹកជួយឱ្យព្រះអង្គទ្រង់ជ្រាបពីព្រះរាជព្រឹត្តិការណ៍ជុំវិញពិភពលោក។,ការស្ដាប់ព័ត៌មានធម៌ជារៀងរាល់ព្រឹកជួយឱ្យពួកយើងដឹងពីព្រឹត្តិការណ៍ជុំវិញពិភពលោក។
គាត់បានសម្រេចចិត្តរៀនជំនាញចម្អិនអាហារដើម្បីបើកភោជនីយដ្ឋានផ្ទាល់ខ្លួនឯង។,ព្រះអង្គម្ចាស់ទ្រង់បានសម្រេចព្រះរាជហឫទ័យរៀនព្រះរាជជំនាញចម្អិនអាហារដើម្បីបើកព្រះរាជភោជនីយដ្ឋានផ្ទាល់ព្រះអង្គ។,ព្រះតេជព្រះគុណទ្រង់បានសម្រេចព្រះទ័យរៀនជំនាញចម្អិនអាហារដើម្បីបើកទីភោជនសម្រាប់សង្ឃ។
យុវជនយើងគួរតែចេះសន្សំសំចៃអគ្គិសនីដើម្បីកាត់បន្ថយការចំណាយក្នុងគ្រួសារ។,ព្រះរាជយុវជនគួរតែចេះសន្សំសំចៃព្រះរាជអគ្គិសនីដើម្បីកាត់បន្ថយព្រះរាជការចំណាយក្នុងព្រះរាជគ្រួសារ។,យុវសង្ឃគួរតែចេះសន្សំសំចៃអគ្គិសនីដើម្បីកាត់បន្ថយការចំណាយក្នុងសង្ឃគមន៍។
ខ្ញុំចូលចិត្តមើលរឿងភាគខ្មែរដែលបង្ហាញពីជីវិតរស់នៅពិតប្រាកដតាមជនបទ។,ខ្ញុំព្រះករុណាទ្រង់ព្រះករុណាប្រោសនិយាយថាទ្រង់ត្រេកអរនឹងការមើលព្រះរាជរឿងភាគខ្មែរដែលបង្ហាញពីព្រះរាជជីវិតរស់នៅពិតប្រាកដតាមព្រះរាជជនបទ។,ខ្ញុំព្រះតេជព្រះគុណទ្រង់ត្រេកអរនឹងការមើលរឿងធម៌ខ្មែរដែលបង្ហាញពីជីវិតពិតប្រាកដតាមជនបទ។
ការគោរពពេលវេលាគឺជាសីលធម៌ដ៏ល្អមួយដែលមនុស្សគ្រប់រូបគួរតែមានជានិច្ច។,ការគោរពព្រះរាជពេលវេលាគឺជាព្រះរាជសីលធម៌ដ៏ល្អមួយដែលព្រះអង្គគ្រប់ព្រះអង្គគួរតែមានជានិច្ច។,ការគោរពពេលវេលាគឺជាសីលធម៌ដ៏ល្អមួយដែលសាមណេរគ្រប់រូបគួរតែមានជានិច្ច។
នាងកំពុងរៀនលេងឧបករណ៍តន្ត្រីខ្មែរគឺរនាតឯកនៅសាលាវិចិត្រសិល្បៈ។,ព្រះនាងទ្រង់កំពុងរៀនលេងព្រះរាជឧបករណ៍តន្ត្រីខ្មែរគឺព្រះរនាតឯកនៅព្រះរាជសាលាវិចិត្រសិល្បៈ។,ព្រះតេជព្រះគុណទ្រង់កំពុងរៀនលេងឧបករណ៍តន្ត្រីព្រះពុទ្ធសាសនានៅសាលាវិចិត្រសិល្បៈ។
